Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z14j60rs,,,Collection,,,,,Intimate Terrains Exhibition Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5gj7484,ark:/21198/z14j60rs,,Work,102.0,0102.01.0001|~|86713|~|71509_ca_object_representations_media_59895_original.jpg,Intimate Terrains Exhibition Collection,,زُر فلسطين,Visit Palestine,A screen painting featuring the Israeli Apartheid Wall blocking the Jerusalem scenery.|~|لوحة فنية، يظهر فيها جدار الفصل العنصري حاجباً الرؤية عن القدس. طباعة حرير على ورق.,,paintings,eng|~|ara,still image,2009; Date created,2009.0,,,,"VISIT PALESTINE  ""I agree with you that adding the wall is vandalism, and a rude intervention."" the designer  1/6 Amer Shomali|~|زر فلسطين المصمم: ""أنا أتفق على أن بناء جدار الفصل العنصري هو تعدً على الأرض وتدخلٌ وَقِح"" 1/6عامر شوملي",image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/8/2514_ca_object_representations_media_59895_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/8/71509_ca_object_representations_media_59895_original.jpg,https://palarchive.org/index.php/Detail/objects/86713/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:37,9 March 2021 at 11:46:36,A screen painting featuring the Israeli Apartheid Wall blocking the Jerusalem scenery.,لوحة فنية، يظهر فيها جدار الفصل العنصري حاجباً الرؤية عن القدس. طباعة حرير على ورق.,paintings,"VISIT PALESTINE  ""I agree with you that adding the wall is vandalism, and a rude intervention."" the designer  1/6 Amer Shomali","زر فلسطين المصمم: ""أنا أتفق على أن بناء جدار الفصل العنصري هو تعدً على الأرض وتدخلٌ وَقِح"" 1/6عامر شوملي",
ark:/13030/m5zh4cgk,ark:/21198/z14j60rs,,Work,102.0,0102.01.0002|~|86714,Intimate Terrains Exhibition Collection,,رسالة إلى أم,Letter to a Mother,A screen painting featuring writings on a wall in Gaza.|~|لوحة فنية، يظهر فيها أحد الجدران الموجودة في غزة وعليها كتابات. طباعة على ورق.,,paintings,eng|~|ara,still image,2004; Date created,2004.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86714/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:37,9 March 2021 at 11:46:36,A screen painting featuring writings on a wall in Gaza.,لوحة فنية، يظهر فيها أحد الجدران الموجودة في غزة وعليها كتابات. طباعة على ورق.,paintings,,,walls of Gaza | walls of Gaza
ark:/13030/m5715mp6,ark:/21198/z14j60rs,,Work,102.0,0102.01.0003|~|86715,Intimate Terrains Exhibition Collection,,ممرات إلى الحرية,Passages to Freedom,Paper printing.|~|طباعة على ورق.,,paintings,eng,still image,2004; Date created,2004.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86715/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:37,21 November 2020 at 10:54:48,Paper printing.,طباعة على ورق.,paintings,,,Walls of Gaza | Walls of Gaza
ark:/13030/m5q31kh2,ark:/21198/z14j60rs,,Work,102.0,0102.01.0004|~|86716,Intimate Terrains Exhibition Collection,,بوابات داخل بوابات,Gates Within Gates,A paper painting featuring writings on a wall in Gaza.|~|لوحة فنية، يظهر فيها أحد الجدران الموجودة في غزة وعليها كتابات. طباعة على ورق.,,paintings,eng|~|ara,still image,2004; Date created,2004.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86716/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:38,21 November 2020 at 10:54:48,A paper painting featuring writings on a wall in Gaza.,لوحة فنية، يظهر فيها أحد الجدران الموجودة في غزة وعليها كتابات. طباعة على ورق.,paintings,,,The Walls of Gaza | The Walls of Gaza
ark:/13030/m59s9b9p,ark:/21198/z14j60rs,,Work,102.0,0102.01.0005|~|86717,Intimate Terrains Exhibition Collection,,نحو التحرير,Towards Liberation,A paper painting featuring writings on a wall in Gaza.|~|لوحة فنية، يظهر فيها أحد الجدران الموجودة في غزة وعليها كتابات. طباعة على ورق.,,paintings,eng|~|ara,still image,2004; Date created,2004.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86717/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:38,21 November 2020 at 10:54:48,A paper painting featuring writings on a wall in Gaza.,لوحة فنية، يظهر فيها أحد الجدران الموجودة في غزة وعليها كتابات. طباعة على ورق.,paintings,,,The Walls of Gaza | The Walls of Gaza
ark:/13030/m5fk031z,ark:/21198/z14j60rs,,Work,102.0,0102.01.0006|~|86718,Intimate Terrains Exhibition Collection,,القرن الثاني عشر الميلادي,12th Century AD,A paper painting featuring writings on a wall in Gaza.|~|لوحة فنية، يظهر فيها أحد الجدران الموجودة في غزة وعليها كتابات. طباعة على ورق.,,paintings,eng|~|ara,still image,1994; Date created,1994.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86718/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:38,21 November 2020 at 10:54:48,A paper painting featuring writings on a wall in Gaza.,لوحة فنية، يظهر فيها أحد الجدران الموجودة في غزة وعليها كتابات. طباعة على ورق.,paintings,,,The Walls of Gaza | The Walls of Gaza
ark:/13030/m5qz9x6t,ark:/21198/z14j60rs,,Work,102.0,0102.01.0007|~|86719,Intimate Terrains Exhibition Collection,,صبار وشجرة زيتون في الباطن,Field n Al-Batten with cactus and olive tree,A dry-pen painting featuring cactus and an olive tree in Mintarat Al- Batten.|~|لوحة فنية، صبار وشجرة زيتون في الباطن. حفر جاف,,paintings,eng,still image,1982; Date created,1982.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86719/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:39,21 November 2020 at 10:54:48,A dry-pen painting featuring cactus and an olive tree in Mintarat Al- Batten.,لوحة فنية، صبار وشجرة زيتون في الباطن. حفر جاف,paintings,,,
ark:/13030/m5618kmq,ark:/21198/z14j60rs,,Work,102.0,0102.01.0008|~|86720,Intimate Terrains Exhibition Collection,,منطرة الباطن,Mintarat Al- Batten,A dry-pen painting featuring cactus and an olive tree in Mintarat Al- Batten.|~|لوحة فنية، باللون الأبيض والأسود لبقايا منطار قديم، حوله بعض الأشجار. منطرة الباطن. حبر جاف.,,paintings,eng,still image,1981; Date created,1981.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86720/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:39,21 November 2020 at 10:54:48,A dry-pen painting featuring cactus and an olive tree in Mintarat Al- Batten.,لوحة فنية، باللون الأبيض والأسود لبقايا منطار قديم، حوله بعض الأشجار. منطرة الباطن. حبر جاف.,paintings,,,
ark:/13030/m5m97vzm,ark:/21198/z14j60rs,,Work,102.0,0102.01.0009|~|86721|~|13784_ca_object_representations_media_59883_original.psd,Intimate Terrains Exhibition Collection,,بدون عنوان,Untitled,A watercolor painting.|~|لوحة فنية، ألوان مائية على ورق,,paintings,ara,still image,2010; Date created,2010.0,,,,,image/x-psd,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/8/1901_ca_object_representations_media_59883_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/8/13784_ca_object_representations_media_59883_original.psd,https://palarchive.org/index.php/Detail/objects/86721/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:39,21 November 2020 at 10:54:48,A watercolor painting.,لوحة فنية، ألوان مائية على ورق,paintings,,,
